ErrorCode;ErrorText;TestDateTime;;;;;
122;Tips not found on adapters:               8    ;5/19/2021 4:15:17 PM;;;;Row Labels;Count of 122 - 17207
122;Tips not found on adapters:               8    ;5/20/2021 2:12:14 AM;;;;Tips not found on adapters:               8    ;163
122;Tips not found on adapters:               8    ;5/19/2021 9:31:42 PM;;;;Tips not found on adapters:             7      ;13
122;Tips not found on adapters: 1                  ;5/19/2021 10:46:40 PM;;;;Tips not found on adapters:             7 8    ;1
122;Tips not found on adapters: 1                  ;5/19/2021 9:31:42 PM;;;;Tips not found on adapters:           6        ;56
122;Tips not found on adapters: 1                  ;5/19/2021 10:46:40 PM;;;;Tips not found on adapters:           6   8    ;1
122;Tips not found on adapters: 1                  ;5/19/2021 10:46:40 PM;;;;Tips not found on adapters:           6 7      ;15
122;Tips not found on adapters: 1                  ;5/19/2021 9:10:19 PM;;;;Tips not found on adapters:           6 7 8    ;1
122;Tips not found on adapters:               8    ;5/20/2021 2:12:14 AM;;;;Tips not found on adapters:         5          ;2
122;Tips not found on adapters:               8    ;5/19/2021 9:10:19 PM;;;;Tips not found on adapters:       4            ;43
122;Tips not found on adapters: 1                  ;5/20/2021 2:12:14 AM;;;;Tips not found on adapters:       4     7      ;2
122;Tips not found on adapters:               8    ;5/20/2021 2:12:14 AM;;;;Tips not found on adapters:       4     7 8    ;1
122;Tips not found on adapters:               8    ;5/20/2021 2:12:14 AM;;;;Tips not found on adapters:       4   6        ;4
122;Tips not found on adapters:               8    ;5/20/2021 2:12:14 AM;;;;Tips not found on adapters:       4   6   8    ;1
122;Tips not found on adapters: 1                  ;5/22/2021 3:23:44 PM;;;;Tips not found on adapters:       4   6 7 8    ;3
122;Tips not found on adapters:               8    ;5/20/2021 3:03:08 AM;;;;Tips not found on adapters:     3              ;17
122;Tips not found on adapters:               8    ;5/20/2021 2:12:14 AM;;;;Tips not found on adapters:     3         8    ;1
122;Tips not found on adapters:               8    ;5/19/2021 8:19:50 PM;;;;Tips not found on adapters:   2 3 4 5   7 8    ;1
122;Tips not found on adapters:               8    ;5/19/2021 5:17:18 PM;;;;Tips not found on adapters: 1                  ;153
122;Tips not found on adapters: 1                  ;5/19/2021 5:17:18 PM;;;;Tips not found on adapters: 1         6        ;1
122;Tips not found on adapters:               8    ;5/19/2021 5:17:18 PM;;;;Tips not found on adapters: 1   3              ;7
122;Tips not found on adapters:               8    ;5/19/2021 9:31:42 PM;;;;Tips not found on adapters: 1   3         8    ;1
122;Tips not found on adapters: 1                  ;5/20/2021 10:47:59 PM;;;;Tips not found on adapters: 1 2 3              ;1
122;Tips not found on adapters: 1   3         8    ;5/19/2021 9:10:19 PM;;;;Tips not found on adapters: 1 2 3 4 5          ;4
122;Tips not found on adapters:               8    ;5/19/2021 8:19:50 PM;;;;Tips not found on adapters: 1 2 3 4 5 6 7 8    ;97
122;Tips not found on adapters: 1                  ;5/19/2021 8:19:50 PM;;;;Tips not found on adapters: 2                  ;1
122;Tips not found on adapters:               8    ;5/19/2021 8:19:50 PM;;;;Tips not found on adapters: 3                  ;1
122;Tips not found on adapters:               8    ;5/19/2021 8:19:50 PM;;;;Tips not found on adapters: 4                  ;1
122;Tips not found on adapters:               8    ;5/19/2021 9:10:19 PM;;;;Tips not found on adapters: 5                  ;1
122;Tips not found on adapters:               8    ;05/08/2021 13:31;;;;Tips not found on adapters: 6                  ;1
122;Tips not found on adapters: 1   3              ;05/07/2021 18:35;;;;Tips not found on adapters: 7                  ;1
122;Tips not found on adapters:               8    ;05/07/2021 15:45;;;;Tips not found on adapters: 8                  ;1
122;Tips not found on adapters: 1                  ;05/06/2021 15:03;;;;(blank);
122;Tips not found on adapters:               8    ;05/08/2021 15:40;;;;Grand Total;596
122;Tips not found on adapters:               8    ;05/08/2021 15:40;;;;;
122;Tips not found on adapters: 1   3              ;05/07/2021 18:35;;;;;
122;Tips not found on adapters: 1                  ;05/08/2021 13:31;;;;;
122;Tips not found on adapters: 1   3              ;05/07/2021 18:35;;;;;
122;Tips not found on adapters:               8    ;05/07/2021 18:35;;;;;
122;Tips not found on adapters:               8    ;05/07/2021 18:35;;;;;
122;Tips not found on adapters: 1                  ;05/06/2021 14:50;;;;;
122;Tips not found on adapters: 1                  ;05/06/2021 14:50;;;;;
122;Tips not found on adapters: 1                  ;05/06/2021 14:50;;;;;
122;Tips not found on adapters: 1                  ;05/06/2021 14:50;;;;;
122;Tips not found on adapters:               8    ;05/08/2021 15:40;;;;;
122;Tips not found on adapters: 1                  ;05/10/2021 17:56;;;;;
122;Tips not found on adapters: 1                  ;05/11/2021 19:33;;;;;
122;Tips not found on adapters: 1                  ;05/10/2021 17:26;;;;;
122;Tips not found on adapters: 1                  ;05/10/2021 17:56;;;;;
122;Tips not found on adapters: 1                  ;05/10/2021 14:22;;;;;
122;Tips not found on adapters:               8    ;05/11/2021 15:43;;;;;
122;Tips not found on adapters: 1                  ;05/10/2021 17:56;;;;;
122;Tips not found on adapters:               8    ;05/11/2021 19:33;;;;;
122;Tips not found on adapters: 1                  ;05/09/2021 16:11;;;;;
122;Tips not found on adapters: 1                  ;05/10/2021 17:56;;;;;
122;Tips not found on adapters: 1                  ;05/10/2021 14:44;;;;;
122;Tips not found on adapters: 1                  ;05/10/2021 22:05;;;;;
122;Tips not found on adapters:     3              ;05/11/2021 15:28;;;;;
