"ErrorCode";"ErrorText";"TestDateTime"
"271";"Bar code read failure at lane 2, position 11.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 4, position 10.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 2, position 6.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 4, position 9.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 1, position 9.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 1, position 6.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 2, position 8.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 1, position 8.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 1, position 13.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 4, position 13.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 5, position 12.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 2, position 13.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 1, position 14.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 4, position 11.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 1, position 11.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 4, position 14.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 4, position 15.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 4, position 12.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 1, position 10.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 3, position 9.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 4, position 13.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 4, position 9.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 3, position 11.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 4, position 11.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 4, position 10.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 3, position 12.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 3, position 15.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 2, position 7.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 6, position 10.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 1, position 15.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 5, position 7.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 4, position 8.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 1, position 16.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 3, position 16.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 5, position 13.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 4, position 7.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 2, position 9.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 6, position 12.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 6, position 13.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 3, position 14.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 5, position 15.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 2, position 15.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 3, position 10.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 1, position 12.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 4, position 16.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 6, position 11.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 2, position 10.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 3, position 13.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 2, position 12.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 3, position 11.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 1, position 7.    ";"4/9/2021 3:08:46 PM"
"271";"Bar code read failure at lane 1, position 6.    ";"4/9/2021 3:17:22 PM"
"271";"Bar code read failure at lane 5, position 14.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 3, position 9.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 1, position 7.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 5, position 9.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 3, position 8.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 5, position 16.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 3, position 7.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 3, position 6.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 6, position 8.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 2, position 16.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 5, position 10.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 2, position 14.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 4, position 15.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 6, position 7.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 6, position 6.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 6, position 9.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 5, position 8.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 5, position 7.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 5, position 6.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 4, position 12.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 3, position 7.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 3, position 10.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 2, position 16.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 2, position 15.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 2, position 14.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 2, position 13.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 2, position 12.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 2, position 10.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 5, position 12.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 2, position 8.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 2, position 7.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 1, position 15.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 5, position 13.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 2, position 6.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 5, position 9.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 2, position 11.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 5, position 11.    ";"4/9/2021 3:05:09 PM"
"271";"Bar code read failure at lane 5, position 16.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 1, position 8.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 1, position 9.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 1, position 10.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 1, position 11.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 1, position 12.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 1, position 14.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 3, position 12.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 1, position 16.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 1, position 7.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 6, position 6.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 1, position 6.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 5, position 14.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 5, position 6.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 5, position 8.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 4, position 8.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 5, position 10.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 4, position 16.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 6, position 13.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 6, position 7.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 6, position 8.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 1, position 13.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 6, position 9.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 3, position 13.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 3, position 8.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 2, position 9.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 5, position 11.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 3, position 16.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 3, position 14.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 6, position 11.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 5, position 15.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 4, position 14.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 4, position 7.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 6, position 12.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 6, position 10.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 3, position 15.    ";"4/9/2021 2:53:26 PM"
"271";"Bar code read failure at lane 1, position 7.    ";"4/13/2021 4:14:50 AM"
"271";"Bar code read failure at lane 3, position 11.    ";"4/23/2021 8:41:51 PM"
"271";"Bar code read failure at lane 1, position 3.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 4, position 11.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 6, position 11.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 1, position 14.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 2, position 5.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 2, position 3.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 2, position 7.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 4, position 14.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 5, position 16.    ";"4/6/2021 9:13:14 PM"
"271";"Bar code read failure at lane 5, position 10.    ";"4/6/2021 9:13:14 PM"
"271";"Bar code read failure at lane 6, position 9.    ";"4/6/2021 9:13:14 PM"
"271";"Bar code read failure at lane 5, position 6.    ";"4/6/2021 9:13:14 PM"
"271";"Bar code read failure at lane 2, position 8.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 1, position 1.    ";"4/7/2021 1:31:32 AM"
"271";"Bar code read failure at lane 2, position 1.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 4, position 4.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 4, position 15.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 2, position 6.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 2, position 4.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 3, position 2.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 5, position 11.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 5, position 5.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 6, position 8.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 6, position 7.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 6, position 2.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 4, position 2.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 6, position 10.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 4, position 3.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 1, position 2.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 1, position 15.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 5, position 16.    ";"4/6/2021 9:46:31 PM"
"271";"Bar code read failure at lane 4, position 13.    ";"4/9/2021 4:39:49 PM"
"271";"Bar code read failure at lane 5, position 11.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 6, position 7.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 1, position 12.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 3, position 8.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 1, position 11.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 1, position 13.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 5, position 10.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 5, position 14.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 1, position 10.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 2, position 11.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 6, position 10.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 4, position 16.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 1, position 9.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 6, position 8.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 6, position 13.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 5, position 16.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 6, position 12.    ";"4/9/2021 4:39:49 PM"
"271";"Bar code read failure at lane 6, position 12.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 3, position 6.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 6, position 9.    ";"4/9/2021 4:39:49 PM"
"271";"Bar code read failure at lane 5, position 10.    ";"4/9/2021 4:39:49 PM"
"271";"Bar code read failure at lane 6, position 11.    ";"4/9/2021 4:39:49 PM"
"271";"Bar code read failure at lane 6, position 13.    ";"4/9/2021 4:39:49 PM"
"271";"Bar code read failure at lane 6, position 10.    ";"4/9/2021 4:39:49 PM"
"271";"Bar code read failure at lane 3, position 14.    ";"4/9/2021 4:39:49 PM"
"271";"Bar code read failure at lane 2, position 11.    ";"4/9/2021 4:39:49 PM"
"271";"Bar code read failure at lane 2, position 15.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 3, position 16.    ";"4/9/2021 4:39:49 PM"
"271";"Bar code read failure at lane 3, position 11.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 1, position 6.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 2, position 6.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 3, position 5.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 3, position 7.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 1, position 7.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 2, position 12.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 1, position 15.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 5, position 13.    ";"4/9/2021 4:39:49 PM"
"271";"Bar code read failure at lane 4, position 9.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 5, position 12.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 1, position 16.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 2, position 13.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 2, position 9.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 5, position 7.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 4, position 10.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 5, position 15.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 5, position 9.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 4, position 7.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 3, position 10.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 4, position 15.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 4, position 12.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 4, position 14.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 4, position 13.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 1, position 6.    ";"4/9/2021 5:21:32 PM"
"271";"Bar code read failure at lane 1, position 15.    ";"5/9/2021 6:47:43 PM"
"271";"Bar code read failure at lane 5, position 8.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 3, position 12.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 1, position 8.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 2, position 14.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 5, position 13.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 1, position 14.    ";"4/9/2021 5:06:47 PM"
"271";"Bar code read failure at lane 3, position 9.    ";"4/9/2021 5:06:47 PM"
