"ErrorCode";"ErrorText";"TestDateTime"
"122";"Tips not found on adapters:         5          ";"5/3/2021 4:16:34 PM"
"122";"Tips not found on adapters: 1 2 3 4 5 6 7 8    ";"5/5/2021 3:34:21 PM"
"122";"Tips not found on adapters: 1 2 3 4 5 6 7      ";"5/7/2021 9:35:39 PM"
"122";"Tips not found on adapters:       4            ";"4/9/2021 1:15:42 AM"
"122";"Tips not found on adapters:               8    ";"4/9/2021 3:18:37 AM"
"122";"Tips not found on adapters:               8    ";"4/9/2021 3:18:37 AM"
"122";"Tips not found on adapters:       4            ";"4/16/2021 10:53:31 PM"
"122";"Tips not found on adapters:       4            ";"4/9/2021 1:15:42 AM"
"122";"Tips not found on adapters:               8    ";"4/9/2021 3:18:37 AM"
"122";"Tips not found on adapters: 1 2 3 4 5 6 7 8    ";"4/22/2021 5:14:54 PM"
"122";"Tips not found on adapters:       4            ";"4/19/2021 4:24:24 PM"
"122";"Tips not found on adapters:       4            ";"4/19/2021 2:58:39 PM"
"122";"Tips not found on adapters:       4            ";"4/19/2021 2:58:39 PM"
"122";"Tips not found on adapters:       4            ";"4/19/2021 2:58:39 PM"
"122";"Tips not found on adapters:       4            ";"4/19/2021 2:58:39 PM"
"122";"Tips not found on adapters:       4            ";"4/19/2021 4:24:24 PM"
"122";"Tips not found on adapters:       4            ";"4/19/2021 4:24:24 PM"
"122";"Tips not found on adapters: 1 2 3 4 5 6 7 8    ";"4/17/2021 4:17:11 PM"
"122";"Tips not found on adapters: 1 2 3 4 5 6 7 8    ";"4/17/2021 4:17:11 PM"
"122";"Tips not found on adapters:               8    ";"4/19/2021 6:33:46 PM"
"122";"Tips not found on adapters:               8    ";"4/19/2021 6:33:46 PM"
"122";"Tips not found on adapters:               8    ";"4/19/2021 6:33:46 PM"
"122";"Tips not found on adapters:               8    ";"4/13/2021 4:46:49 PM"
"122";"Tips not found on adapters:               8    ";"4/13/2021 4:19:50 AM"
"122";"Tips not found on adapters:               8    ";"4/13/2021 4:19:50 AM"
"122";"Tips not found on adapters:               8    ";"4/13/2021 4:19:50 AM"
"122";"Tips not found on adapters:   2       6        ";"4/8/2021 8:19:13 PM"
"122";"Tips not found on adapters:       4            ";"4/8/2021 9:52:31 PM"
"122";"Tips not found on adapters:       4            ";"4/8/2021 9:52:31 PM"
"122";"Tips not found on adapters: 1                  ";"4/8/2021 8:19:13 PM"
"122";"Tips not found on adapters:       4 5 6 7 8    ";"4/27/2021 1:48:06 PM"
"122";"Tips not found on adapters:       4 5 6 7 8    ";"4/27/2021 1:48:06 PM"
"122";"Tips not found on adapters: 1                  ";"4/3/2021 1:24:35 AM"
"122";"Tips not found on adapters:       4            ";"3/30/2021 12:08:53 PM"
"122";"Tips not found on adapters:               8    ";"4/6/2021 4:46:49 PM"
"122";"Tips not found on adapters: 1                  ";"4/3/2021 1:24:35 AM"
"122";"Tips not found on adapters: 1                  ";"4/3/2021 1:24:35 AM"
"122";"Tips not found on adapters: 1                  ";"4/3/2021 1:43:08 AM"
"122";"Tips not found on adapters:               8    ";"4/6/2021 4:46:49 PM"
"122";"Tips not found on adapters:           6        ";"3/30/2021 11:39:38 AM"
"122";"Tips not found on adapters:               8    ";"4/6/2021 4:46:49 PM"
"122";"Tips not found on adapters:       4            ";"4/6/2021 3:11:44 PM"
"122";"Tips not found on adapters:               8    ";"4/6/2021 9:17:41 PM"
"122";"Tips not found on adapters:       4 5          ";"3/18/2021 5:38:13 AM"
"122";"Tips not found on adapters:               8    ";"4/6/2021 9:17:41 PM"
"122";"Tips not found on adapters:               8    ";"4/6/2021 9:17:41 PM"
"122";"Tips not found on adapters:         5          ";"3/18/2021 5:38:13 AM"
"122";"Tips not found on adapters: 1 2 3 4 5 6 7 8    ";"5/11/2021 3:44:39 PM"
"122";"Tips not found on adapters: 1 2 3 4 5 6 7 8    ";"5/11/2021 3:44:39 PM"
"122";"Tips not found on adapters:               8    ";"4/9/2021 3:22:33 PM"
"122";"Tips not found on adapters:               8    ";"4/9/2021 3:22:33 PM"
"122";"Tips not found on adapters: 1 2 3 4 5 6 7 8    ";"5/11/2021 3:44:39 PM"
"122";"Tips not found on adapters: 1 2 3 4 5 6 7 8    ";"4/7/2021 3:58:08 PM"
"122";"Tips not found on adapters:               8    ";"4/7/2021 2:35:05 AM"
"122";"Tips not found on adapters: 1 2 3 4 5 6 7 8    ";"4/7/2021 2:35:05 AM"
"122";"Tips not found on adapters:               8    ";"4/9/2021 3:22:33 PM"
"122";"Tips not found on adapters:               8    ";"4/29/2021 11:37:10 PM"
"122";"Tips not found on adapters:               8    ";"4/29/2021 11:37:10 PM"
"122";"Tips not found on adapters:               8    ";"4/29/2021 1:19:32 PM"
"122";"Tips not found on adapters:               8    ";"4/29/2021 1:19:32 PM"
"122";"Tips not found on adapters:               8    ";"4/29/2021 12:17:10 PM"
"122";"Tips not found on adapters:               8    ";"4/29/2021 2:55:13 PM"
"122";"Tips not found on adapters:               8    ";"4/29/2021 2:55:13 PM"
"122";"Tips not found on adapters:               8    ";"4/29/2021 11:37:10 PM"
"122";"Tips not found on adapters:               8    ";"4/29/2021 11:37:10 PM"
"122";"Tips not found on adapters:               8    ";"5/2/2021 5:51:33 PM"
"122";"Tips not found on adapters:               8    ";"4/28/2021 5:08:04 PM"
"122";"Tips not found on adapters:               8    ";"4/29/2021 9:25:03 PM"
"122";"Tips not found on adapters: 1 2 3 4 5 6 7 8    ";"4/28/2021 12:27:53 AM"
"122";"Tips not found on adapters:               8    ";"4/28/2021 5:51:20 PM"
"122";"Tips not found on adapters:               8    ";"4/29/2021 9:25:03 PM"
"122";"Tips not found on adapters: 1 2 3 4 5 6 7 8    ";"4/28/2021 12:27:53 AM"
"122";"Tips not found on adapters: 1 2 3 4 5 6 7 8    ";"4/28/2021 12:50:09 PM"
"122";"Tips not found on adapters:               8    ";"4/28/2021 5:08:04 PM"
"122";"Tips not found on adapters:     3              ";"5/2/2021 5:51:33 PM"
"122";"Tips not found on adapters: 1                  ";"5/2/2021 5:51:33 PM"
