"ErrorCode";"ErrorText";"TestDateTime"
"122";"Tips not found on adapters: 1       5          ";"5/4/2021 10:51:10 PM"
"122";"Tips not found on adapters: 1     4 5          ";"5/5/2021 1:25:22 AM"
"122";"Tips not found on adapters:     3              ";"5/5/2021 2:40:21 PM"
"122";"Tips not found on adapters:       4            ";"5/4/2021 10:51:10 PM"
"122";"Tips not found on adapters:         5          ";"5/7/2021 3:11:12 PM"
"122";"Tips not found on adapters: 1                  ";"5/5/2021 10:39:32 AM"
"122";"Tips not found on adapters:         5          ";"5/7/2021 3:11:12 PM"
"122";"Tips not found on adapters:         5          ";"5/5/2021 1:25:22 AM"
"122";"Tips not found on adapters: 1 2     5          ";"5/6/2021 4:30:19 PM"
"122";"Tips not found on adapters: 1 2   4 5          ";"5/7/2021 3:11:12 PM"
"122";"Tips not found on adapters: 1                  ";"5/5/2021 3:59:00 PM"
"122";"Tips not found on adapters:   2   4 5          ";"5/7/2021 3:11:12 PM"
"122";"Tips not found on adapters:       4 5          ";"5/7/2021 3:11:12 PM"
"122";"Tips not found on adapters:       4            ";"5/7/2021 3:11:12 PM"
"122";"Tips not found on adapters:       4            ";"5/7/2021 3:11:12 PM"
"122";"Tips not found on adapters:       4            ";"5/7/2021 3:11:12 PM"
"122";"Tips not found on adapters: 1     4 5   7      ";"5/7/2021 3:11:12 PM"
"122";"Tips not found on adapters:             7      ";"5/5/2021 4:26:53 PM"
"122";"Tips not found on adapters:             7      ";"5/7/2021 3:11:12 PM"
"122";"Tips not found on adapters: 1     4 5          ";"5/5/2021 12:10:51 AM"
"122";"Tips not found on adapters:         5          ";"5/5/2021 12:10:51 AM"
"122";"Tips not found on adapters: 1 2                ";"5/7/2021 3:11:12 PM"
"122";"Tips not found on adapters: 1 2                ";"5/5/2021 1:25:22 AM"
"122";"Tips not found on adapters:             7      ";"5/7/2021 2:57:03 PM"
"122";"Tips not found on adapters: 1                  ";"5/7/2021 3:11:12 PM"
"122";"Tips not found on adapters:         5          ";"5/7/2021 3:11:12 PM"
"122";"Tips not found on adapters:             7      ";"5/7/2021 4:19:26 PM"
