"ErrorCode";"ErrorText";"TestDateTime"
"271";"Bar code read failure at lane 3, position 3.    ";"4/9/2021 2:31:17 AM"
"271";"Bar code read failure at lane 6, position 3.    ";"5/4/2021 4:19:28 PM"
"271";"Bar code read failure at lane 3, position 13.    ";"5/5/2021 7:12:56 PM"
"271";"Bar code read failure at lane 5, position 14.    ";"5/4/2021 4:35:54 PM"
"271";"Bar code read failure at lane 6, position 4.    ";"5/4/2021 4:35:54 PM"
"271";"Bar code read failure at lane 6, position 3.    ";"5/4/2021 4:35:54 PM"
"271";"Bar code read failure at lane 6, position 11.    ";"5/4/2021 4:19:28 PM"
"271";"Bar code read failure at lane 6, position 8.    ";"5/4/2021 4:19:28 PM"
"271";"Bar code read failure at lane 5, position 14.    ";"5/4/2021 4:19:28 PM"
"271";"Bar code read failure at lane 5, position 15.    ";"5/4/2021 4:19:28 PM"
"271";"Bar code read failure at lane 5, position 16.    ";"5/4/2021 4:19:28 PM"
"271";"Bar code read failure at lane 5, position 16.    ";"5/4/2021 4:35:54 PM"
"271";"Bar code read failure at lane 6, position 2.    ";"5/4/2021 4:19:28 PM"
"271";"Bar code read failure at lane 6, position 2.    ";"5/4/2021 4:35:54 PM"
"271";"Bar code read failure at lane 6, position 4.    ";"5/4/2021 4:19:28 PM"
"271";"Bar code read failure at lane 6, position 5.    ";"5/4/2021 4:19:28 PM"
"271";"Bar code read failure at lane 6, position 6.    ";"5/4/2021 4:19:28 PM"
"271";"Bar code read failure at lane 6, position 13.    ";"5/4/2021 4:19:28 PM"
"271";"Bar code read failure at lane 6, position 7.    ";"5/4/2021 4:19:28 PM"
"271";"Bar code read failure at lane 6, position 9.    ";"5/4/2021 4:19:28 PM"
"271";"Bar code read failure at lane 6, position 10.    ";"5/4/2021 4:19:28 PM"
"271";"Bar code read failure at lane 6, position 12.    ";"5/4/2021 4:19:28 PM"
"271";"Bar code read failure at lane 3, position 5.    ";"5/3/2021 4:22:15 PM"
"271";"Bar code read failure at lane 6, position 10.    ";"5/3/2021 4:22:15 PM"
"271";"Bar code read failure at lane 6, position 1.    ";"5/4/2021 4:19:28 PM"
"271";"Bar code read failure at lane 3, position 9.    ";"5/5/2021 7:12:56 PM"
"271";"Bar code read failure at lane 2, position 16.    ";"4/30/2021 7:00:28 PM"
"271";"Bar code read failure at lane 3, position 11.    ";"5/5/2021 7:12:56 PM"
"271";"Bar code read failure at lane 3, position 10.    ";"5/5/2021 7:12:56 PM"
"271";"Bar code read failure at lane 3, position 8.    ";"5/5/2021 7:12:56 PM"
"271";"Bar code read failure at lane 3, position 16.    ";"5/5/2021 7:12:56 PM"
"271";"Bar code read failure at lane 3, position 6.    ";"5/5/2021 7:12:56 PM"
"271";"Bar code read failure at lane 3, position 5.    ";"5/5/2021 7:12:56 PM"
"271";"Bar code read failure at lane 3, position 4.    ";"5/5/2021 7:12:56 PM"
"271";"Bar code read failure at lane 3, position 3.    ";"5/5/2021 7:12:56 PM"
"271";"Bar code read failure at lane 5, position 15.    ";"5/4/2021 4:35:54 PM"
"271";"Bar code read failure at lane 3, position 1.    ";"5/5/2021 7:12:56 PM"
"271";"Bar code read failure at lane 5, position 2.    ";"5/3/2021 4:22:15 PM"
"271";"Bar code read failure at lane 6, position 11.    ";"5/4/2021 4:35:54 PM"
"271";"Bar code read failure at lane 6, position 10.    ";"5/4/2021 4:35:54 PM"
"271";"Bar code read failure at lane 6, position 9.    ";"5/4/2021 4:35:54 PM"
"271";"Bar code read failure at lane 6, position 12.    ";"5/4/2021 4:35:54 PM"
"271";"Bar code read failure at lane 6, position 7.    ";"5/4/2021 4:35:54 PM"
"271";"Bar code read failure at lane 6, position 1.    ";"5/4/2021 4:35:54 PM"
