ErrorCode;ErrorText;;;;
66;Move Error on Tips:     3            Move Tips Back?    ;;;Row Labels;Count of ErrorText
66;Move Error on Tips:   2              Move Tips Back?    ;;;Move Error on Tips:       4          Move Tips Back?    ;1
66;Move Error on Tips:       4          Move Tips Back?    ;;;Move Error on Tips:     3            Move Tips Back?    ;1
;;;;Move Error on Tips:   2              Move Tips Back?    ;1
;;;;(blank);
;;;;Grand Total;3
