ErrorCode;ErrorText;;;;;;;
122;Tips not found on adapters:       4            ;;;;;;Row Labels;Count of ErrorText
122;Tips not found on adapters:       4            ;;;;;;Tips not found on adapters:               8    ;17
122;Tips not found on adapters: 1                  ;;;;;;Tips not found on adapters:             7      ;29
122;Tips not found on adapters: 1 2 3 4 5 6 7 8    ;;;;;;Tips not found on adapters:             7 8    ;7
122;Tips not found on adapters:       4            ;;;;;;Tips not found on adapters:           6        ;11
122;Tips not found on adapters:       4            ;;;;;;Tips not found on adapters:           6 7      ;7
122;Tips not found on adapters:       4            ;;;;;;Tips not found on adapters:         5          ;4
122;Tips not found on adapters:       4            ;;;;;;Tips not found on adapters:         5   7      ;1
122;Tips not found on adapters: 1     4       8    ;;;;;;Tips not found on adapters:       4            ;30
122;Tips not found on adapters: 1                  ;;;;;;Tips not found on adapters:       4   6        ;2
122;Tips not found on adapters:       4            ;;;;;;Tips not found on adapters:       4   6 7      ;1
122;Tips not found on adapters: 1                  ;;;;;;Tips not found on adapters:     3              ;2
122;Tips not found on adapters: 1     4            ;;;;;;Tips not found on adapters:     3       7      ;3
122;Tips not found on adapters: 1     4       8    ;;;;;;Tips not found on adapters:   2         7      ;1
122;Tips not found on adapters:       4            ;;;;;;Tips not found on adapters:   2     5          ;1
122;Tips not found on adapters:       4            ;;;;;;Tips not found on adapters:   2   4 5          ;1
122;Tips not found on adapters: 1     4            ;;;;;;Tips not found on adapters:   2 3     6        ;1
122;Tips not found on adapters: 1 2 3 4 5 6 7 8    ;;;;;;Tips not found on adapters:   2 3 4     7      ;1
122;Tips not found on adapters:           6        ;;;;;;Tips not found on adapters:   8                ;1
122;Tips not found on adapters:       4   6        ;;;;;;Tips not found on adapters: 1                  ;18
122;Tips not found on adapters:       4            ;;;;;;Tips not found on adapters: 1           7      ;1
122;Tips not found on adapters: 1     4            ;;;;;;Tips not found on adapters: 1       5          ;2
122;Tips not found on adapters: 1 2 3 4 5 6 7 8    ;;;;;;Tips not found on adapters: 1     4            ;5
122;Tips not found on adapters: 1 2 3 4 5 6 7 8    ;;;;;;Tips not found on adapters: 1     4       8    ;2
