"ErrorCode";"ErrorText"
"66";"Move Error on Tips:           6      Move Tips Back?    "
"66";"Move Error on Tips:         5        Move Tips Back?    "
"66";"Move Error on Tips:           6      Move Tips Back?    "
"66";"Move Error on Tips:           6      Move Tips Back?    "
"66";"Move Error on Tips: 1 2 3 4 5        Move Tips Back?    "
"66";"Move Error on Tips:         5        Move Tips Back?    "
"66";"Move Error on Tips:               8  Move Tips Back?    "
"66";"Move Error on Tips:     3     6      Move Tips Back?    "
"66";"Move Error on Tips:     3     6      Move Tips Back?    "
"66";"Move Error on Tips:       4 5        Move Tips Back?    "
"66";"Move Error on Tips: 1 2 3 4 5 6 7 8  Move Tips Back?    "
"66";"Move Error on Tips: 1 2 3 4 5 6 7 8  Move Tips Back?    "
"66";"Move Error on Tips: 1 2 3 4 5 6 7 8  Move Tips Back?    "
"66";"Move Error on Tips:     3     6      Move Tips Back?    "
"66";"Move Error on Tips: 1 2 3 4 5 6 7 8  Move Tips Back?    "
"66";"Move Error on Tips:     3     6      Move Tips Back?    "
"66";"Move Error on Tips:     3     6      Move Tips Back?    "
"66";"Move Error on Tips:     3     6      Move Tips Back?    "
"66";"Move Error on Tips: 1 2 3 4 5 6 7 8  Move Tips Back?    "
